time,PressureIn,PressureOut,MotorCurrent,StuffingBoxTemp,Passage
2017-08-10T14:49:58.758Z,1.0,3.04531,49.0,25.0,244.695
2017-08-10T14:49:59.758Z,1.0,3.08118,51.0,25.0,246.671
2017-08-10T14:50:00.758Z,1.0,2.90527,50.0,25.0,241.432
2017-08-10T14:50:01.757Z,1.0,2.94192,51.0,25.0,245.105
2017-08-10T14:50:02.758Z,1.0,2.95654,50.0,25.0,247.523
2017-08-10T14:50:03.757Z,1.0,2.95142,49.0,25.0,248.823
2017-08-10T14:50:04.757Z,1.0,2.97937,49.0,25.0,249.883
2017-08-10T14:50:05.757Z,1.0,3.09019,49.0,25.0,247.1
2017-08-10T14:50:06.757Z,1.0,3.0936,50.0,25.0,244.595
2017-08-10T14:50:07.758Z,1.0,2.92625,50.0,25.0,243.32
2017-08-10T14:50:08.758Z,1.0,3.06187,51.0,25.0,246.068
2017-08-10T14:50:09.758Z,1.0,2.93677,49.0,25.0,241.218
2017-08-10T14:50:10.758Z,1.0,3.03004,50.0,25.0,244.695
2017-08-10T14:50:11.759Z,1.0,3.02208,49.0,25.0,242.582
2017-08-10T14:50:12.758Z,1.0,3.0444,49.0,25.0,249.537
2017-08-10T14:50:13.757Z,1.0,3.08742,51.0,25.0,242.607
2017-08-10T14:50:14.758Z,1.0,2.95634,49.0,25.0,241.963
2017-08-10T14:50:15.758Z,1.0,3.05919,51.0,25.0,245.394
2017-08-10T14:50:16.757Z,1.0,3.06743,49.0,25.0,244.781
2017-08-10T14:50:17.761Z,1.0,3.05242,49.0,25.0,249.563
2017-08-10T14:50:18.759Z,1.0,3.00753,49.0,25.0,240.493
2017-08-10T14:50:19.757Z,1.0,3.0413,49.0,25.0,248.735
2017-08-10T14:50:20.757Z,1.0,2.99967,49.0,25.0,243.072
2017-08-10T14:50:21.758Z,1.0,2.92863,50.0,25.0,249.976
2017-08-10T14:50:22.758Z,1.0,2.97397,49.0,25.0,241.472
2017-08-10T14:50:23.757Z,1.0,2.98847,50.0,25.0,241.583
2017-08-10T14:50:24.759Z,1.0,3.07248,49.0,25.0,241.048
2017-08-10T14:50:25.757Z,1.0,3.09433,50.0,25.0,245.847
2017-08-10T14:50:26.758Z,1.0,3.0642,49.0,25.0,242.506
2017-08-10T14:50:27.757Z,1.0,2.96738,50.0,25.0,249.126
2017-08-10T14:50:28.756Z,1.0,2.98817,51.0,25.0,248.221
2017-08-10T14:50:29.756Z,1.0,2.9108,50.0,25.0,246.807
2017-08-10T14:50:30.759Z,1.0,3.08827,49.0,25.0,243.853
2017-08-10T14:50:31.757Z,1.0,2.9626,51.0,25.0,240.821
2017-08-10T14:50:32.759Z,1.0,2.92083,50.0,25.0,240.601
2017-08-10T14:50:33.758Z,1.0,2.92423,50.0,25.0,248.58
2017-08-10T14:50:34.758Z,1.0,2.93082,49.0,25.0,241.235
2017-08-10T14:50:35.757Z,1.0,2.93262,51.0,25.0,240.742
2017-08-10T14:50:36.757Z,1.0,2.92855,49.0,25.0,242.615
2017-08-10T14:50:37.756Z,1.0,2.9618,51.0,25.0,247.32
2017-08-10T14:50:38.758Z,1.0,3.0821,49.0,25.0,249.915
2017-08-10T14:50:39.757Z,1.0,3.09438,51.0,25.0,243.647
2017-08-10T14:50:40.757Z,1.0,2.99566,51.0,25.0,244.518
2017-08-10T14:50:41.756Z,1.0,3.01561,49.0,25.0,245.766
2017-08-10T14:50:42.758Z,1.0,3.09611,51.0,25.0,249.74
2017-08-10T14:50:43.757Z,1.0,2.98011,50.0,25.0,245.206
2017-08-10T14:50:44.757Z,1.0,3.02381,50.0,25.0,247.485
2017-08-10T14:50:45.759Z,1.0,2.90833,50.0,25.0,242.155
2017-08-10T14:50:46.756Z,1.0,2.94435,49.0,25.0,245.819
2017-08-10T14:50:47.757Z,1.0,2.91014,51.0,25.0,249.828
2017-08-10T14:50:48.757Z,1.0,2.99064,50.0,25.0,243.555
2017-08-10T14:50:49.759Z,1.0,3.03415,49.0,25.0,247.823
2017-08-10T14:50:50.757Z,1.0,2.93406,51.0,25.0,244.541
2017-08-10T14:50:51.757Z,1.0,3.02545,51.0,25.0,244.518
2017-08-10T14:50:52.758Z,1.0,2.9948,51.0,25.0,242.633
2017-08-10T14:50:53.758Z,1.0,2.96893,49.0,25.0,244.432
2017-08-10T14:50:54.758Z,1.0,2.95969,51.0,25.0,249.604
2017-08-10T14:50:55.765Z,1.0,2.92388,50.0,25.0,242.219
2017-08-10T14:50:56.757Z,1.0,3.00599,50.0,25.0,243.731
2017-08-10T14:50:57.758Z,1.0,3.04323,51.0,25.0,246.769
2017-08-10T14:50:58.756Z,1.0,2.95627,49.0,25.0,247.762
2017-08-10T14:50:59.758Z,1.0,3.0434,50.0,25.0,243.047
2017-08-10T14:51:00.759Z,1.0,3.03889,49.0,25.0,242.632
2017-08-10T14:51:01.756Z,1.0,3.07194,49.0,25.0,242.049
2017-08-10T14:51:02.758Z,1.0,2.92351,50.0,25.0,248.956
2017-08-10T14:51:03.756Z,1.0,3.03657,51.0,25.0,246.888
2017-08-10T14:51:04.759Z,1.0,2.9696,51.0,25.0,243.168
2017-08-10T14:51:05.757Z,1.0,2.93437,49.0,25.0,241.65
2017-08-10T14:51:06.758Z,1.0,2.98934,50.0,25.0,240.534
2017-08-10T14:51:07.758Z,1.0,3.07966,50.0,25.0,245.772
2017-08-10T14:51:08.756Z,1.0,2.91351,49.0,25.0,244.297
2017-08-10T14:51:09.759Z,1.0,2.99843,50.0,25.0,246.242
2017-08-10T14:51:10.756Z,1.0,3.08167,49.0,25.0,240.237
2017-08-10T14:51:11.758Z,1.0,2.96034,51.0,25.0,249.476
2017-08-10T14:51:12.758Z,1.0,2.98312,49.0,25.0,240.174
2017-08-10T14:51:13.758Z,1.0,3.08271,50.0,25.0,240.219
2017-08-10T14:51:14.759Z,1.0,3.07713,50.0,25.0,247.642
2017-08-10T14:51:15.757Z,1.0,3.08759,49.0,25.0,242.779
2017-08-10T14:51:16.758Z,1.0,2.94479,49.0,25.0,245.389
2017-08-10T14:51:17.758Z,1.0,2.95021,50.0,25.0,246.389
2017-08-10T14:51:18.757Z,1.0,2.99541,50.0,25.0,248.754
2017-08-10T14:51:19.758Z,1.0,3.06768,49.0,25.0,247.822
2017-08-10T14:51:20.758Z,1.0,2.99304,51.0,25.0,242.58
2017-08-10T14:51:21.757Z,1.0,3.02747,49.0,25.0,246.863
2017-08-10T14:51:22.755Z,1.0,2.90819,50.0,25.0,243.422
2017-08-10T14:51:23.758Z,1.0,2.98988,50.0,25.0,249.998
2017-08-10T14:51:24.758Z,1.0,2.96112,50.0,25.0,244.58
2017-08-10T14:51:25.757Z,1.0,2.9428,49.0,25.0,241.061
2017-08-10T14:51:26.758Z,1.0,2.93116,49.0,25.0,240.284
2017-08-10T14:51:27.757Z,1.0,3.06568,49.0,25.0,240.821
2017-08-10T14:51:28.759Z,1.0,2.98679,51.0,25.0,248.325
2017-08-10T14:51:29.759Z,1.0,2.97744,49.0,25.0,246.79
2017-08-10T14:51:30.757Z,1.0,2.96805,50.0,25.0,248.91
2017-08-10T14:51:31.758Z,1.0,2.96531,50.0,25.0,246.197
2017-08-10T14:51:32.756Z,1.0,2.95175,51.0,25.0,242.662
2017-08-10T14:51:33.758Z,1.0,3.02336,50.0,25.0,245.33
2017-08-10T14:51:34.759Z,1.0,2.97539,49.0,25.0,243.848
2017-08-10T14:51:35.756Z,1.0,3.09525,49.0,25.0,243.549
2017-08-10T14:51:36.759Z,1.0,2.91384,50.0,25.0,247.293
2017-08-10T14:51:37.758Z,1.0,2.94142,49.0,25.0,246.453
2017-08-10T14:51:38.758Z,1.0,3.01661,49.0,25.0,240.242
2017-08-10T14:51:39.758Z,1.0,2.96048,49.0,25.0,246.225
2017-08-10T14:51:40.757Z,1.0,3.0504,51.0,25.0,245.006
2017-08-10T14:51:41.757Z,1.0,2.91371,51.0,25.0,244.325
2017-08-10T14:51:42.759Z,1.0,3.07448,49.0,25.0,245.733
2017-08-10T14:51:43.757Z,1.0,3.05532,51.0,25.0,248.627
2017-08-10T14:51:44.757Z,1.0,2.93181,49.0,25.0,244.399
2017-08-10T14:51:45.759Z,1.0,3.08372,50.0,25.0,240.228
2017-08-10T14:51:46.757Z,1.0,3.09041,50.0,25.0,248.301
2017-08-10T14:51:47.758Z,1.0,3.02647,50.0,25.0,240.504
2017-08-10T14:51:48.757Z,1.0,3.04382,49.0,25.0,245.278
2017-08-10T14:51:49.758Z,1.0,3.07825,51.0,25.0,243.031
2017-08-10T14:51:50.761Z,1.0,2.99951,49.0,25.0,244.767
2017-08-10T14:51:51.757Z,1.0,2.95209,51.0,25.0,243.837
2017-08-10T14:51:52.759Z,1.0,2.9775,50.0,25.0,243.923
2017-08-10T14:51:53.757Z,1.0,2.9046,51.0,25.0,243.352
2017-08-10T14:51:54.756Z,1.0,3.03005,51.0,25.0,249.615
2017-08-10T14:51:55.757Z,1.0,3.08063,49.0,25.0,240.768
2017-08-10T14:51:56.757Z,1.0,3.00543,50.0,25.0,240.397
2017-08-10T14:51:57.759Z,1.0,3.01697,51.0,25.0,242.351
2017-08-10T14:51:58.756Z,1.0,3.03617,49.0,25.0,248.842
2017-08-10T14:51:59.765Z,1.0,3.07321,50.0,25.0,245.991
2017-08-10T14:52:00.768Z,1.0,3.06306,51.0,25.0,245.1
2017-08-10T14:52:01.757Z,1.0,3.04574,51.0,25.0,241.093
2017-08-10T14:52:02.758Z,1.0,2.9325,49.0,25.0,248.508
2017-08-10T14:52:03.758Z,1.0,3.09323,51.0,25.0,242.061
2017-08-10T14:52:04.758Z,1.0,3.05387,50.0,25.0,246.745
2017-08-10T14:52:05.758Z,1.0,2.98337,51.0,25.0,241.405
2017-08-10T14:52:06.759Z,1.0,2.99953,49.0,25.0,242.686
2017-08-10T14:52:07.757Z,1.0,2.98702,49.0,25.0,241.049
2017-08-10T14:52:08.758Z,1.0,3.09706,49.0,25.0,248.95
2017-08-10T14:52:09.757Z,1.0,2.92074,50.0,25.0,244.185
2017-08-10T14:52:10.759Z,1.0,2.92842,50.0,25.0,240.493
2017-08-10T14:52:11.757Z,1.0,3.09923,51.0,25.0,240.976
2017-08-10T14:52:12.758Z,1.0,3.03663,49.0,25.0,247.629
2017-08-10T14:52:13.757Z,1.0,2.92751,51.0,25.0,246.086
2017-08-10T14:52:14.760Z,1.0,2.97396,51.0,25.0,246.889
