Time,Tb_model,Tb_mod_n
400,135.8464185,135.7866183
401,136.1039694,135.9724474
402,136.3826269,136.1808219
403,136.309822,136.0658759
404,136.2516639,135.9651636
405,136.2454537,135.9139975
406,136.2479644,135.8681296
407,136.2725108,135.8468296
408,136.2814128,135.8143023
409,136.219424,135.7070027
410,136.0267077,135.4793052
411,135.8811166,135.2956808
412,135.9961051,135.3490742
413,135.9371652,135.2431573
414,135.8369464,135.1053903
415,135.9345213,135.1437968
416,136.1319843,135.2788184
417,136.2436775,135.334143
418,136.3360699,135.3730378
419,136.300802,135.2939781
420,136.4610547,135.3966659
421,136.4647663,135.3544733
422,136.5556068,135.3918999
423,136.6244434,135.408392
424,136.4708217,135.2284133
425,136.5293773,135.2454215
426,136.6696213,135.333866
427,136.8496089,135.4655707
428,136.7928397,135.380074
429,136.8402941,135.392149
430,136.8837303,135.3907968
431,136.9917509,135.4514525
432,137.1431929,135.5613178
433,137.3192113,135.6855449
434,137.3426211,135.675413
435,137.5127305,135.8057102
436,137.5507964,135.8074966
437,137.5721433,135.8044711
438,137.7207814,135.9072892
439,137.8462013,135.9950922
440,138.0759267,136.1794382
441,138.1790871,136.2517412
442,138.1290558,136.1785717
443,138.1633481,136.192029
444,138.1775186,136.1823608
445,138.2032807,136.1810098
446,138.4561738,136.3879394
447,138.4426807,136.3503386
448,138.7605679,136.6219911
449,138.8225977,136.6549696
450,139.1032988,136.891202
451,139.2490589,137.0027928
452,139.3021737,137.0271249
453,139.2803892,136.9770836
454,139.3779263,137.0445585
455,139.4447537,137.0863633
456,139.3047098,136.9347185
457,139.291084,136.8993594
458,139.3968739,136.9759453
459,139.5586185,137.0995224
460,139.3220795,136.8519202
461,139.1479872,136.6607059
462,139.1568154,136.6464565
463,139.2494379,136.7086788
464,139.2351005,136.6731654
465,139.2002325,136.6146492
466,139.3050996,136.6887385
467,139.0642247,136.4384126
468,138.9007291,136.2616637
469,138.8106939,136.1537577
470,138.8087793,136.1226235
471,138.6362006,135.940422
472,138.6681731,135.9507279
473,138.6025547,135.8614996
474,138.6202159,135.8607111
475,138.4464921,135.6807872
476,138.5124195,135.7179481
477,138.3334426,135.5289502
478,138.2776736,135.4606872
479,138.3270907,135.4903685
480,138.3738739,135.5084062
481,138.4178009,135.5284755
482,138.5276768,135.6116855
483,138.6239437,135.6842239
484,138.484988,135.5420602
485,138.5441464,135.5823031
486,138.6061623,135.6202062
487,138.6116787,135.6087451
488,138.7306126,135.7023248
489,138.744861,135.7095181
490,138.7582366,135.7116471
491,138.7940982,135.73237
492,138.8172256,135.7373455
493,138.7967052,135.7085948
494,138.7651277,135.6733187
495,138.7555223,135.6482625
496,138.6613325,135.5515083
497,138.7517166,135.6266695
498,138.6560228,135.5274569
499,138.5921438,135.4596818
500,138.5137725,135.3339764
501,138.7571673,135.4763939
502,139.0453538,135.6662341
503,139.1025465,135.6473844
504,139.3250043,135.7845759
505,139.3208547,135.7309119
506,139.5740609,135.8855858
507,139.4118704,135.68285
508,139.4018043,135.614399
509,139.5215677,135.6541526
510,139.6685831,135.7197196
511,139.7240863,135.717913
512,139.8194495,135.7289297
513,139.8187333,135.6604336
514,139.6662061,135.462675
515,139.8175658,135.5221048
516,139.7088379,135.3764815
517,139.6623336,135.2777162
518,139.6936523,135.2422311
519,139.5539905,135.0775567
520,139.4735299,134.9598387
521,139.427531,134.878433
522,139.5018378,134.8977581
523,139.516129,134.8570481
524,139.5246551,134.8291793
525,139.7748251,134.9987569
526,139.7446081,134.9415907
527,139.9556228,135.0695603
528,140.0603721,135.118764
529,140.2465723,135.2334848
530,140.2688708,135.2055014
531,140.2386475,135.14615
532,140.1708364,135.0586464
533,140.1804762,135.0280957
534,140.2197529,135.0390998
535,140.1757045,134.9627682
536,140.3168249,135.0455554
537,140.5553746,135.214855
538,140.8494517,135.4432905
539,140.9464435,135.4923359
540,141.0493494,135.5620385
541,141.0968309,135.5687052
542,141.188398,135.6098129
543,141.2729379,135.6457366
544,141.4696601,135.7848383
545,141.4915237,135.7806633
546,141.5241824,135.7933323
547,141.5891884,135.8253817
548,141.6093988,135.8092995
549,141.7124906,135.8774525
550,141.7291472,135.8643464
551,142.0130872,135.9937621
552,141.9028648,135.8092343
553,141.944623,135.7485392
554,141.8810034,135.6077392
555,141.7280472,135.3866643
556,142.0068976,135.5033769
557,141.9942347,135.3908434
558,142.215569,135.4577895
559,142.1837042,135.3291237
560,142.1233693,135.1835676
561,142.1405411,135.1094762
562,142.166673,135.0382402
563,142.2571303,135.0195558
564,142.3973622,135.0259004
565,142.5031171,135.0182146
566,142.2889134,134.7543198
567,142.1604941,134.5685486
568,142.4286439,134.6872745
569,142.5963255,134.7291575
570,142.8080571,134.8069819
571,142.748307,134.6916842
572,143.0072056,134.8180528
573,142.9910132,134.7341353
574,143.0580938,134.7097173
575,143.1889548,134.7385869
576,143.3956906,134.8266608
577,143.4887057,134.832291
578,143.6278356,134.870921
579,143.8045826,134.9530254
580,143.8303897,134.9161459
581,144.1087028,135.0734903
582,144.1641947,135.0554839
583,144.1323675,134.9801341
584,144.3081987,135.0753248
585,144.2514086,134.9837703
586,144.4946238,135.1153615
587,144.678144,135.207259
588,144.637781,135.1283792
589,144.8336234,135.2397713
590,145.1501212,135.4385961
591,145.2182212,135.4371951
592,145.4947137,135.6061343
593,145.7945639,135.8027324
594,145.8164796,135.7688656
595,145.9652782,135.8466527
596,146.1726152,135.9487244
597,146.4861001,136.1462194
598,146.7248274,136.2900078
599,146.6121724,136.1462661
600,146.6896481,136.1611689
601,146.6232499,136.0543689
602,146.5833318,135.980272
603,146.8074256,136.1024805
604,147.0193223,136.2165155
605,146.9168533,136.0813732
606,146.7548524,135.8914041
607,146.6676509,135.7576952
608,146.6483751,135.6920036
609,146.6804715,135.6572852
610,146.688264,135.6124364
611,146.5981,135.49346
612,146.46161,135.3390912
613,146.5372554,135.3460017
614,146.6307681,135.3652606
615,146.3872865,135.1187773
616,146.256278,134.958991
617,146.44897,135.0568678
618,146.4976235,135.0430313
619,146.6285977,135.1002648
620,146.4425064,134.9092202
621,146.2626869,134.7252303
622,146.3298426,134.7334081
623,146.1658253,134.564158
624,146.1562878,134.5284158
625,146.3454652,134.651659
626,146.5987974,134.8275885
627,146.4309808,134.6623985
628,146.6607763,134.814826
629,146.6757171,134.8060374
630,146.6737207,134.7722855
631,146.6433852,134.7232743
632,146.5939468,134.670682
633,146.602302,134.6494007
634,146.6068369,134.6325492
635,146.6857791,134.6806092
636,146.6746794,134.6512436
637,146.8238901,134.7490884
638,146.8029086,134.7225263
639,147.1987822,135.0201014
640,147.2246487,135.0193626
